No.,Player,Flag,Pos,Age,Ht,Wt,S.C,Exp,Birth.Date,Summary,Salary
13,Nick Bonino,us,C,28,6-1,196,L/-,7,"April 20, 1988","7 G, 12 A, 19 P","$2,100,000"
28,Ian Cole,us,D,27,6-1,219,L/-,6,"February 21, 1989","3 G, 13 A, 16 P","$2,300,000"
1,Mike Condon,us,G,26,6-2,197,-/-,1,"April 27, 1990","0-0-0, 0.00 GAA",N/A
87,Sidney Crosby (C),ca,C,29,5-11,200,L/-,11,"August 7, 1987","28 G, 27 A, 55 P","$10,900,000"
7,Matt Cullen,us,C,40,6-1,200,L/-,18,"November 2, 1976","8 G, 9 A, 17 P","$1,000,000"
6,Trevor Daley,ca,D,33,5-11,195,L/-,12,"October 9, 1983","4 G, 12 A, 16 P","$2,700,000"
8,Brian Dumoulin,us,D,25,6-4,207,L/-,3,"September 6, 1991","0 G, 7 A, 7 P","$800,000"
16,Eric Fehr,ca,C,31,6-4,212,R/-,11,"September 7, 1985","6 G, 3 A, 9 P","$2,000,000"
29,Marc-Andre Fleury,ca,G,32,6-2,180,-/L,12,"November 28, 1984","13-7-4, 3.23 GAA","$5,750,000"
24,Cameron Gaunce,ca,D,26,6-1,210,L/-,2,"March 19, 1990","0 G, 2 A, 2 P","$575,000"
59,Jake Guentzel,us,C,22,5-11,180,L/-,R,"October 6, 1994","4 G, 3 A, 7 P","$667,500"
62,Carl Hagelin,se,LW,28,5-11,186,L/-,5,"August 23, 1988","6 G, 12 A, 18 P","$3,667,000"
72,Patric Hornqvist,se,RW,30,5-11,189,R/-,8,"January 1, 1987","12 G, 16 A, 28 P","$4,750,000"
81,Phil Kessel,us,RW,29,6-0,202,R/-,10,"October 2, 1987","15 G, 31 A, 46 P","$7,800,000"
34,Tom Kuhnhackl,de,RW,25,6-2,196,L/-,1,"January 21, 1992","2 G, 3 A, 5 P","$590,000"
14,Chris Kunitz,ca,LW,37,6-0,195,L/-,12,"September 26, 1979","5 G, 15 A, 20 P","$3,550,000"
58,Kris Letang,ca,D,29,6-0,201,R/-,10,"April 24, 1987","4 G, 19 A, 23 P","$7,250,000"
3,Olli Maatta,fi,D,22,6-2,206,L/-,3,"August 22, 1994","1 G, 5 A, 6 P","$4,083,000"
71,Evgeni Malkin,su,C,30,6-3,195,L/-,10,"July 31, 1986","22 G, 32 A, 54 P","$9,500,000"
30,Matthew Murray,ca,G,22,6-4,178,-/-,1,"May 25, 1994","17-6-1, 2.42 GAA","$575,000"
61,Steven Oleksy,us,D,30,6-0,190,R/-,3,"February 4, 1986","0 G, 1 A, 1 P","$575,000"
51,Derrick Pouliot,ca,D,23,6-0,208,L/-,2,"January 16, 1994","0 G, 0 A, 0 P","$832,500"
2,Chad Ruhwedel,us,D,26,5-11,191,R/-,4,"May 7, 1990","1 G, 2 A, 3 P","$575,000"
17,Bryan Rust,us,RW,24,5-11,192,R/-,2,"May 11, 1992","12 G, 12 A, 24 P","$620,000"
4,Justin Schultz,ca,D,26,6-2,193,R/-,4,"July 6, 1990","8 G, 27 A, 35 P","$1,400,000"
25,Tom Sestito,us,LW,29,6-5,228,L/-,8,"September 28, 1987","0 G, 1 A, 1 P","$575,000"
43,Conor Sheary,us,LW,24,5-8,175,L/-,1,"June 8, 1992","17 G, 17 A, 34 P","$667,500"
5,David Warsofsky,us,D,26,5-9,170,L/-,3,"May 30, 1990","0 G, 0 A, 0 P","$575,000"
23,Scott Wilson,ca,LW,24,5-11,183,L/-,2,"April 24, 1992","5 G, 8 A, 13 P","$590,000"
